Frequency (Hz),OL Magnitude (dB),OL Phase (Deg),Plant Magnitude (dB),Plant Phase (Deg)
200,16.9663848876953,-38.0900001525879,11.0024366378784,142.476959228516
208.999984741211,16.2431049346924,-41.1809616088867,10.5350608825684,141.818801879883
218.404968261719,17.1142292022705,-38.9098281860352,10.9459457397461,139.701721191406
228.233184814453,16.4639205932617,-37.4746513366699,10.2008171081543,140.154083251953
238.503662109375,16.0353240966797,-39.1142692565918,10.0621728897095,141.351104736328
249.236312866211,15.7671756744385,-42.9964866638184,9.76937866210938,137.200592041016
260.451934814453,16.0479278564453,-43.8995361328125,10.0884351730347,136.615676879883
272.172271728516,15.2276849746704,-45.7979507446289,9.33616924285889,135.25666809082
284.420013427734,14.8226890563965,-47.6922187805176,8.9669132232666,133.592666625977
297.218902587891,15.1870422363281,-55.0826644897461,9.42347240447998,126.504760742188
310.59375,14.9490985870361,-50.9350891113281,8.79550457000732,128.165451049805
324.570465087891,14.8936395645142,-56.5665130615234,9.34066295623779,126.27286529541
339.176116943359,14.6435518264771,-50.606616973877,8.42813205718994,128.063491821289
354.439025878906,14.2284021377563,-56.3850898742676,8.32743549346924,124.333961486816
370.388763427734,14.2704582214355,-54.2630653381348,8.44332504272461,126.98664855957
387.056243896484,13.5277671813965,-57.4744911193848,7.8885498046875,124.850982666016
404.473754882813,13.5687341690063,-53.914421081543,7.5312819480896,125.974060058594
422.675048828125,16.6545295715332,-73.517448425293,10.6373414993286,106.493629455566
441.695404052734,13.8575429916382,-58.8332901000977,8.01256084442139,122.159858703613
461.571685791016,12.7211580276489,-58.4133415222168,6.77273178100586,122.011512756348
482.342376708984,11.9876832962036,-55.1498947143555,5.89485502243042,124.377662658691
504.047760009766,12.1045522689819,-60.9235610961914,6.13399839401245,119.355743408203
526.729858398438,12.4399614334106,-65.9270324707031,6.68679332733154,115.351661682129
550.432678222656,11.0842409133911,-63.5580596923828,5.25877904891968,117.502517700195
575.2021484375,11.5886402130127,-64.9559173583984,5.69253587722778,115.674186706543
601.086242675781,9.57228660583496,-62.8048934936523,3.63075470924377,117.661361694336
628.135070800781,10.2187795639038,-64.0271606445313,4.2786021232605,116.416679382324
656.401123046875,12.2801914215088,-53.3005523681641,6.50411367416382,128.443405151367
685.939147949219,10.5995388031006,-67.3662490844727,4.74289035797119,113.442276000977
716.806396484375,9.97863388061523,-65.3093719482422,4.03956174850464,115.129257202148
749.062683105469,9.37757587432861,-68.6008529663086,3.50095534324646,112.12752532959
782.770446777344,11.6258411407471,-56.7994155883789,5.65380191802979,123.512634277344
817.995056152344,8.82815361022949,-69.9756851196289,2.79904651641846,109.982460021973
854.804809570313,9.08034610748291,-71.9299163818359,3.1951801776886,108.699295043945
893.27099609375,8.51476860046387,-74.5722045898438,2.68835401535034,106.293724060059
933.468139648438,8.16322040557861,-72.4585418701172,2.2440927028656,108.031196594238
975.474182128906,7.89372491836548,-75.2322616577148,1.9090690612793,104.929534912109
1019.37048339844,6.06717157363892,-67.7910995483398,0.075328953564167,112.388656616211
1065.24206542969,7.43130874633789,-77.7671813964844,1.55548965930939,102.862396240234
1113.17785644531,7.12371635437012,-77.4053649902344,1.24389111995697,103.22843170166
1163.27075195313,6.63811206817627,-79.3225708007813,0.756918787956238,101.293830871582
1215.61791992188,6.41931867599487,-79.6457061767578,0.564824402332306,101.096633911133
1270.32067871094,6.26985120773315,-79.6302947998047,0.33940726518631,100.77507019043
1327.48510742188,5.8363208770752,-79.3432312011719,-0.080543152987957,101.145729064941
1387.22192382813,5.43162679672241,-81.1839447021484,-0.527527511119843,99.0996551513672
1449.64685058594,5.08165550231934,-81.5975570678711,-0.870854139328003,98.7235794067383
1514.880859375,4.76691007614136,-83.1827239990234,-1.19168841838837,97.1054763793945
1583.05041503906,4.46521139144897,-82.982292175293,-1.50546884536743,97.2577590942383
