Frequency (Hz),OL Magnitude (dB),OL Phase (Deg),Plant Magnitude (dB),Plant Phase (Deg)
200,24.1405258178711,-66.4451522827148,15.1309795379639,112.320129394531
208.999984741211,24.6228275299072,-13.1593503952026,12.7042417526245,131.237319946289
218.404968261719,16.449893951416,-77.3105926513672,12.5164976119995,119.429885864258
228.233184814453,17.1579494476318,-69.2123718261719,11.0832462310791,121.74137878418
238.503662109375,20.0720405578613,-63.9025459289551,11.8465185165405,117.738952636719
249.236312866211,11.9739942550659,-34.320743560791,3.98640155792236,155.814849853516
260.451934814453,19.518087387085,-50.7188568115234,9.62506484985352,122.255813598633
272.172271728516,23.8784484863281,19.0394668579102,10.7120323181152,125.476112365723
284.420013427734,21.3297386169434,-44.6241798400879,10.121376991272,120.634887695313
297.218902587891,24.290246963501,5.48725175857544,10.2768115997314,122.706085205078
310.59375,15.6178779602051,-74.8686065673828,9.45570373535156,113.757438659668
324.570465087891,19.8102607727051,-54.9416618347168,9.96915626525879,119.122940063477
339.176116943359,14.2739486694336,-76.5543212890625,8.99467658996582,115.937843322754
354.439025878906,15.2120666503906,-59.1824760437012,6.93703365325928,122.73828125
370.388763427734,16.8675308227539,-68.2477111816406,8.63973999023438,113.255867004395
387.056243896484,15.6618051528931,-72.1594161987305,8.28393459320068,112.318344116211
404.473754882813,22.8602333068848,-25.0228118896484,8.58440971374512,116.984405517578
422.675048828125,15.7087984085083,-67.4200592041016,6.53979301452637,110.54460144043
441.695404052734,19.5509338378906,-26.1436328887939,5.97636461257935,118.768997192383
461.571685791016,11.7905130386353,-84.6758728027344,6.23094892501831,104.130920410156
482.342376708984,19.6611709594727,-42.7538566589355,6.45814323425293,113.562164306641
504.047760009766,14.6596336364746,-75.1168518066406,6.60824918746948,106.691719055176
526.729858398438,14.1927270889282,-73.0361785888672,6.23676156997681,109.332725524902
550.432678222656,7.73335886001587,-38.3159599304199,-0.90554815530777,141.536483764648
575.2021484375,13.3228282928467,-70.4714279174805,3.96377921104431,106.861770629883
601.086242675781,12.1903200149536,-81.8325424194336,5.97224283218384,105.548545837402
628.135070800781,14.1204748153687,-69.7329635620117,4.78637886047363,107.706062316895
656.401123046875,11.829550743103,-81.394401550293,5.17676687240601,104.754470825195
685.939147949219,11.406135559082,-80.0381698608398,3.53842544555664,102.334396362305
716.806396484375,11.2632865905762,-82.3684539794922,3.72401595115662,100.802589416504
749.062683105469,9.1921272277832,-30.7108421325684,-1.21560764312744,130.838073730469
782.770446777344,9.00833511352539,-89.7992401123047,3.11531209945679,98.0028686523438
817.995056152344,12.1793413162231,-74.1932144165039,2.39830875396729,102.030830383301
854.804809570313,14.6153135299683,-59.4700698852539,2.74005365371704,107.246887207031
893.27099609375,10.7963533401489,-80.6416854858398,2.58917665481567,100.663276672363
933.468139648438,9.43857669830322,-88.4749145507813,2.3464298248291,95.6143341064453
975.474182128906,9.37563705444336,-81.4547500610352,0.987785995006561,99.3390197753906
1019.37048339844,9.42940902709961,-82.7796401977539,1.41794049739838,99.202262878418
1065.24206542969,9.0766429901123,-84.0792846679688,1.08381593227386,97.9205627441406
1113.17785644531,8.76513576507568,-84.5442810058594,0.784838020801544,97.5201263427734
1163.27075195313,8.42347240447998,-85.2727584838867,0.428926736116409,96.7496032714844
1215.61791992188,8.12235164642334,-85.845329284668,0.133595064282417,96.2096633911133
1270.32067871094,7.75908374786377,-86.3918151855469,-0.234949201345444,95.6757507324219
1327.48510742188,7.4954776763916,-87.5415954589844,-0.457207947969437,94.6321792602539
1387.22192382813,7.10033464431763,-89.1899337768555,-0.671625375747681,93.541877746582
1449.64685058594,6.71324396133423,-82.5431594848633,-1.2729719877243,100.111869812012
1514.880859375,6.46498870849609,-91.0818176269531,-1.33515298366547,91.5562210083008
1583.05041503906,6.24733591079712,-91.4219818115234,-1.65052056312561,90.9223098754883
1654.28759765625,5.94537305831909,-92.0425491333008,-1.99536657333374,90.1868743896484
1728.73046875,5.61979675292969,-92.9896469116211,-2.29679489135742,89.3403930664063
1806.52331542969,5.41886901855469,-93.7384033203125,-2.61374378204346,88.1920547485352
1887.81677246094,5.18220233917236,-94.261360168457,-2.86071157455444,87.6596832275391
1972.76843261719,4.75025606155396,-96.8140563964844,-3.15085244178772,85.5229644775391
2061.54296875,4.4343900680542,-97.6744155883789,-3.49314045906067,84.6110153198242
2154.31225585938,4.17637872695923,-98.7853775024414,-3.75142121315002,83.5000686645508
2251.25610351563,3.8862316608429,-100.663818359375,-4.0453577041626,81.5655822753906
2352.5625,3.57931995391846,-101.763603210449,-4.36523962020874,80.450309753418
2458.427734375,3.27963209152222,-102.975456237793,-4.72332525253296,79.0619506835938
2569.05688476563,2.9828999042511,-104.378372192383,-5.02811765670776,77.6445770263672
2684.66430664063,2.72330522537231,-105.493614196777,-5.35687494277954,76.3124084472656
2805.47412109375,2.39965415000916,-107.394287109375,-5.67937850952148,74.4180221557617
2931.72021484375,2.10640358924866,-108.926239013672,-6.09170627593994,72.494514465332
3063.6474609375,1.82507765293121,-110.71817779541,-6.35936164855957,70.7549514770508
3201.51147460938,1.60989499092102,-112.532211303711,-6.6099739074707,68.8091735839844
3345.57934570313,1.258824467659,-114.609565734863,-7.04793119430542,66.45849609375
3496.13037109375,0.965692341327667,-116.461517333984,-7.39949750900269,64.4224243164063
3653.4560546875,0.698853611946106,-117.757614135742,-7.75424766540527,62.8432388305664
3817.861328125,0.367790371179581,-120.604637145996,-8.14397811889648,59.7966537475586
3989.6650390625,0.187173396348953,-121.417518615723,-8.44894218444824,58.5514144897461
4169.19970703125,-0.0890444070100784,-124.145195007324,-8.80219459533691,55.5493125915527
4356.8134765625,-0.409919291734695,-126.288520812988,-9.23932266235352,52.9681205749512
4552.8701171875,-0.710794687271118,-128.891952514648,-9.58299922943115,50.176139831543
4757.7490234375,-0.981848418712616,-130.572631835938,-9.99738311767578,47.8925819396973
4971.84765625,-1.31066477298737,-132.345565795898,-10.465274810791,45.447811126709
5195.58056640625,-1.6607483625412,-134.781173706055,-10.8976650238037,42.4939956665039
5429.38134765625,-2.00758481025696,-136.821441650391,-11.3575973510742,39.7093963623047
5673.703125,-2.37353038787842,-139.315963745117,-11.7473201751709,36.7709465026855
5929.01953125,-2.72624850273132,-141.593994140625,-12.1520547866821,33.8332328796387
6195.8251953125,-3.25879621505737,-143.542175292969,-12.6922998428345,31.1553134918213
6474.63720703125,-3.78432202339172,-146.31364440918,-13.1768350601196,27.8400840759277
6765.99560546875,-4.29512500762939,-149.437637329102,-13.5994119644165,24.4679679870605
7070.46533203125,-4.92276287078857,-152.853851318359,-14.1049423217773,20.984712600708
7388.6357421875,-5.54717826843262,-157.121719360352,-14.584132194519,17.0142555236816
7721.1240234375,-6.1938419342041,-161.107437133789,-15.0888738632202,13.7790908813477
8068.57421875,-6.85185670852661,-165.917434692383,-15.6153621673584,10.2262535095215
8431.66015625,-7.43575668334961,-171.497955322266,-16.1230144500732,5.55819034576416
8811.0849609375,-8.09550094604492,-176.74934387207,-16.7346210479736,1.70039987564087
9207.5830078125,-8.62671756744385,178.238159179688,-17.2530364990234,-2.20417785644531
9621.923828125,-9.33775424957275,171.968048095703,-17.9662666320801,-7.92088270187378
10054.91015625,-10.0651731491089,167.231567382813,-18.7070846557617,-11.8749942779541
10507.380859375,-10.6238050460815,160.936874389648,-19.2735271453857,-18.0235633850098
10980.212890625,-11.3878688812256,155.58024597168,-20.0492267608643,-23.0163688659668
11474.322265625,-12.1207866668701,150.634170532227,-20.7793235778809,-28.1240062713623
11990.666015625,-12.898154258728,147.144927978516,-21.5697498321533,-31.1085205078125
12530.2451171875,-13.9492721557617,140.68798828125,-22.6191387176514,-37.6156005859375
13094.10546875,-14.5799617767334,133.623580932617,-23.2571296691895,-44.4663505554199
13683.33984375,-15.4882888793945,131.470932006836,-24.1597652435303,-46.6860275268555
14299.08984375,-16.1970729827881,123.667709350586,-24.8625888824463,-54.7110252380371
14942.5478515625,-17.2730388641357,117.941688537598,-25.9344787597656,-60.4845428466797
15614.9619140625,-17.5384197235107,111.060440063477,-26.1900253295898,-67.7962112426758
